,feats_og,labels,feats
497,2283,4,1108
498,2287,3,1111
499,2288,4,1112
500,2302,0,1114
501,2304,0,1115
502,2306,3,1117
503,2311,2,1119
504,2314,2,1122
505,2315,2,1123
506,2316,2,1124
507,2317,2,1125
508,2318,4,1126
509,2321,1,1127
510,2323,2,1129
511,2324,4,1130
512,2326,1,1131
513,2327,0,1132
514,2329,1,1133
515,2330,0,1134
516,2332,1,1135
517,2338,0,1138
518,2340,0,1139
519,2341,1,1140
520,2352,4,1142
521,2354,0,1143
522,2358,2,1144
523,2359,0,1145
524,2362,3,1146
525,2366,1,1148
526,2370,2,1150
527,2373,0,1151
528,2374,3,1152
529,2375,3,1153
530,2376,4,1154
531,2377,3,1155
532,2382,3,1158
533,2397,3,1159
534,2416,2,1161
535,2419,2,1162
536,2423,0,1163
537,2436,1,1170
538,2439,2,1172
539,2440,0,1173
540,2443,2,1175
541,2444,0,1176
542,2447,1,1178
543,2453,0,1179
544,2454,0,1180
545,2455,0,1181
546,2456,2,1182
547,2458,2,1183
548,2459,0,1184
549,2461,0,1185
550,2462,2,1186
551,2463,0,1187
552,2465,0,1188
553,2466,2,1189
554,2467,2,1190
555,2468,2,1191
556,2472,4,1193
557,2474,0,1194
558,2475,0,1195
559,2477,0,1197
560,2479,3,1198
561,2480,3,1199
562,2483,1,1201
563,2486,1,1202
564,2489,1,1203
565,2492,1,1204
566,2494,1,1205
567,2500,1,1208
568,2502,1,1209
569,2510,0,1210
570,2511,1,1211
571,2514,1,1214
572,2522,0,1217
573,2527,0,1218
574,2532,0,1220
575,2534,0,1221
576,2535,3,1222
577,2537,0,1224
578,2538,0,1225
579,2539,0,1226
580,2543,0,1227
581,2544,0,1228
582,2545,0,1229
583,2556,3,1233
584,2559,0,1234
585,2569,0,1237
586,2571,1,1238
587,2587,0,1243
588,2590,1,1245
589,2591,1,1246
590,2593,0,1248
591,2594,0,1249
592,2595,3,1250
593,2604,1,1252
594,2608,3,1254
595,2612,0,1255
596,2613,1,1256
597,2614,1,1257
598,2615,1,1258
599,2616,1,1259
600,2617,0,1260
601,2619,0,1262
602,2621,3,1264
603,2627,0,1265
604,2632,0,1266
605,2634,0,1267
606,2638,1,1268
607,2641,2,1269
608,2644,2,1270
609,2649,2,1271
610,2673,1,1283
611,2687,0,1288
612,2689,0,1289
613,2692,1,1291
614,2707,4,1295
615,2709,1,1297
616,2718,2,1301
617,2722,1,1304
618,2743,0,1307
619,2745,0,1308
620,2751,2,1309
621,2760,3,1312
622,2774,3,1318
623,2775,3,1319
624,2778,1,1320
625,2788,2,1321
626,2791,2,1324
627,2796,2,1328
628,2797,3,1329
629,2798,3,1330
630,2799,2,1331
631,2807,2,1334
632,2809,0,1335
633,2810,2,1336
634,2812,0,1337
635,2815,2,1339
636,2817,3,1341
637,2819,3,1342
638,2826,3,1345
639,2827,1,1346
640,2829,2,1347
641,2832,3,1348
642,2834,0,1349
643,2839,4,1350
644,2840,4,1351
645,2850,4,1354
646,2852,4,1355
647,2856,4,1356
648,2866,4,1359
649,2867,4,1360
650,2868,4,1361
651,2870,1,1362
652,2873,0,1363
653,2874,2,1364
654,2879,0,1365
655,2887,3,1367
656,2893,3,1368
657,2896,2,1369
658,2899,2,1371
659,2901,3,1372
660,2905,2,1373
661,2919,3,1376
662,2922,2,1378
663,2924,3,1380
664,2932,1,1382
665,2940,0,1384
666,2942,1,1386
667,2943,2,1387
668,2944,1,1388
669,2958,0,1390
670,2965,0,1393
671,2966,0,1394
672,2968,1,1395
673,2969,1,1396
674,2971,1,1397
675,2973,1,1398
676,2975,0,1399
677,2977,1,1401
678,2980,0,1402
679,2983,1,1403
680,2987,2,1404
681,2988,0,1405
682,2993,1,1407
683,2999,1,1409
684,3002,1,1410
685,3013,0,1415
686,3014,0,1416
687,3018,3,1418
688,3020,3,1419
689,3021,0,1420
690,3027,4,1422
691,3028,4,1423
692,3040,0,1426
693,3044,4,1427
694,3050,0,1428
695,3053,3,1430
696,3054,2,1431
697,3058,3,1433
698,3061,2,1434
699,3062,2,1435
700,3064,3,1436
701,3068,2,1439
702,3081,2,1442
703,3082,4,1443
704,3089,2,1445
705,3091,1,1446
706,3094,4,1447
707,3098,4,1449
708,3099,4,1450
709,3100,1,1451
710,3101,2,1452
711,3102,1,1453
712,3104,2,1454
713,3109,2,1456
714,3113,0,1458
715,3115,2,1460
716,3117,2,1462
717,3119,2,1464
718,3121,3,1465
719,3124,2,1468
720,3132,4,1469
721,3133,3,1470
722,3134,1,1471
723,3135,3,1472
724,3139,2,1473
725,3140,0,1474
726,3143,4,1475
727,3146,4,1477
728,3148,3,1478
729,3151,0,1479
730,3152,0,1480
731,3153,4,1481
732,3156,0,1482
733,3162,3,1483
734,3168,1,1484
735,3173,0,1486
736,3174,4,1487
737,3175,2,1488
738,3179,1,1489
739,3180,3,1490
740,3184,3,1492
741,3188,0,1494
742,3190,2,1495
743,3192,1,1496
744,3203,3,1500
745,3206,3,1501
746,3208,3,1502
747,3211,1,1503
748,3219,2,1507
749,3220,2,1508
750,3221,2,1509
751,3233,0,1510
752,3234,2,1511
753,3240,0,1512
754,3242,0,1513
755,3263,1,1518
756,3274,2,1520
757,3278,2,1521
758,3280,2,1522
759,3281,2,1523
760,3282,0,1524
761,3286,1,1525
762,3288,1,1526
763,3292,0,1528
764,3294,0,1529
765,3295,0,1530
766,3300,2,1532
767,3303,0,1535
768,3304,0,1536
769,3308,1,1539
770,3310,3,1541
771,3312,1,1543
772,3314,1,1545
773,3315,1,1546
774,3320,1,1547
775,3323,3,1549
776,3326,2,1550
777,3327,2,1551
778,3328,3,1552
779,3342,0,1557
780,3349,2,1561
781,3356,2,1565
782,3364,3,1566
783,3365,2,1567
784,3369,2,1568
785,3373,2,1570
786,3376,2,1571
787,3384,3,1572
788,3390,0,1573
789,3393,1,1575
790,3397,2,1578
791,3398,1,1579
792,3399,0,1580
793,3400,1,1581
794,3404,3,1582
795,3413,2,1585
796,3417,3,1586
797,3418,3,1587
798,3419,3,1588
799,3426,2,1592
800,3428,2,1594
801,3429,2,1595
802,3433,3,1597
803,3435,0,1598
804,3436,0,1599
805,3438,2,1600
806,3439,3,1601
807,3441,3,1602
808,3444,3,1603
809,3454,0,1607
810,3457,2,1608
811,3462,4,1609
812,3465,0,1610
813,3467,1,1611
814,3475,3,1612
815,3476,2,1613
816,3477,4,1614
817,3482,4,1615
818,3490,0,1616
819,3496,3,1620
820,3502,3,1624
821,3508,3,1625
822,3512,3,1627
823,3518,2,1629
824,3520,2,1630
825,3525,2,1631
826,3527,1,1632
827,3533,0,1634
828,3538,2,1635
829,3539,1,1636
830,3540,2,1637
831,3541,0,1638
832,3542,0,1639
833,3544,0,1640
834,3549,2,1642
835,3550,2,1643
836,3551,3,1644
837,3552,2,1645
838,3553,3,1646
839,3554,3,1647
840,3557,3,1649
841,3558,2,1650
842,3564,4,1651
843,3565,4,1652
844,3567,1,1653
845,3578,2,1655
846,3584,0,1659
847,3588,1,1660
848,3590,1,1661
849,3591,1,1662
850,3592,1,1663
851,3596,0,1664
852,3597,0,1665
853,3601,2,1666
854,3605,3,1669
855,3609,2,1671
856,3614,2,1673
857,3623,1,1677
858,3626,1,1678
859,3632,1,1679
860,3633,0,1680
861,3638,4,1682
862,3647,0,1684
863,3648,0,1685
864,3654,0,1688
865,3655,0,1689
866,3661,1,1691
867,3662,0,1692
868,3663,0,1693
869,3664,0,1694
870,3669,0,1695
871,3671,0,1696
872,3677,2,1697
873,3679,3,1698
874,3681,4,1699
875,3686,1,1701
876,3693,1,1703
877,3696,0,1704
878,3697,0,1705
879,3706,0,1706
880,3723,0,1708
881,3726,0,1709
882,3729,0,1710
883,3730,0,1711
884,3739,1,1712
885,3746,0,1716
886,3748,1,1717
887,3750,1,1718
888,3755,1,1722
889,3757,1,1723
890,3758,1,1724
891,3760,3,1725
892,3761,1,1726
893,3766,1,1728
894,3767,1,1729
895,3768,1,1730
896,3769,1,1731
897,3771,3,1732
898,3772,2,1733
899,3773,3,1734
900,3788,0,1738
901,3790,2,1739
902,3799,4,1741
903,3802,3,1743
904,3803,4,1744
905,3809,0,1747
906,3812,1,1749
907,3813,0,1750
908,3815,3,1751
909,3819,1,1753
910,3822,0,1754
911,3824,0,1755
912,3826,1,1756
913,3828,1,1757
914,3829,1,1758
915,3831,1,1759
916,3834,0,1762
917,3837,0,1763
918,3845,0,1770
919,3850,0,1771
920,3854,3,1772
921,3856,3,1773
922,3860,1,1775
923,3861,1,1776
924,3866,4,1778
925,3871,0,1782
